## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=199950 TAGGING_POLICY=All INPUT=[Arenosa3merged.bam] OUTPUT=Arenosa3dedup.bam METRICS_FILE=logstat/Dup_metricsArenosa3.log ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Dec 01 12:42:47 CET 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
@E00401:25:H3NTKALXX:5one	57	166	8	47	1	3	2	0.017995	13393

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.01212
2.0	2.011772
3.0	2.99911
4.0	3.974287
5.0	4.937451
6.0	5.888751
7.0	6.828332
8.0	7.75634
9.0	8.672917
10.0	9.578203
11.0	10.472338
12.0	11.355459
13.0	12.227702
14.0	13.0892
15.0	13.940086
16.0	14.780491
17.0	15.610544
18.0	16.430373
19.0	17.240102
20.0	18.039857
21.0	18.829761
22.0	19.609935
23.0	20.380499
24.0	21.141571
25.0	21.893268
26.0	22.635705
27.0	23.368997
28.0	24.093256
29.0	24.808594
30.0	25.515121
31.0	26.212944
32.0	26.902172
33.0	27.582909
34.0	28.255261
35.0	28.919332
36.0	29.575222
37.0	30.223033
38.0	30.862864
39.0	31.494813
40.0	32.118979
41.0	32.735455
42.0	33.344338
43.0	33.945721
44.0	34.539696
45.0	35.126354
46.0	35.705786
47.0	36.27808
48.0	36.843325
49.0	37.401607
50.0	37.953012
51.0	38.497625
52.0	39.03553
53.0	39.566808
54.0	40.091542
55.0	40.609812
56.0	41.121699
57.0	41.62728
58.0	42.126633
59.0	42.619835
60.0	43.106962
61.0	43.588088
62.0	44.063288
63.0	44.532634
64.0	44.996199
65.0	45.454054
66.0	45.906269
67.0	46.352913
68.0	46.794056
69.0	47.229764
70.0	47.660106
71.0	48.085146
72.0	48.504951
73.0	48.919585
74.0	49.329111
75.0	49.733593
76.0	50.133092
77.0	50.52767
78.0	50.917388
79.0	51.302305
80.0	51.682481
81.0	52.057974
82.0	52.428841
83.0	52.79514
84.0	53.156927
85.0	53.514258
86.0	53.867187
87.0	54.215768
88.0	54.560056
89.0	54.900103
90.0	55.235961
91.0	55.567681
92.0	55.895316
93.0	56.218915
94.0	56.538528
95.0	56.854204
96.0	57.165991
97.0	57.473938
98.0	57.778091
99.0	58.078498
100.0	58.375204

