## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=199950 TAGGING_POLICY=All INPUT=[Arenosa1merged.bam] OUTPUT=Arenosa1dedup.bam METRICS_FILE=logstat/Dup_metricsArenosa1.log ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 10 17:50:26 CET 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
@E00401:25:H3NTKALXX:5one	714	3940	200	713	55	300	109	0.076216	37132

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.026969
2.0	1.950551
3.0	2.781154
4.0	3.528138
5.0	4.199921
6.0	4.804074
7.0	5.347406
8.0	5.836039
9.0	6.27548
10.0	6.670682
11.0	7.026097
12.0	7.345732
13.0	7.633189
14.0	7.891707
15.0	8.124199
16.0	8.333286
17.0	8.521323
18.0	8.69043
19.0	8.842513
20.0	8.979285
21.0	9.102288
22.0	9.212908
23.0	9.312391
24.0	9.40186
25.0	9.482321
26.0	9.554682
27.0	9.619759
28.0	9.678284
29.0	9.730917
30.0	9.778251
31.0	9.82082
32.0	9.859104
33.0	9.893533
34.0	9.924497
35.0	9.952343
36.0	9.977386
37.0	9.999907
38.0	10.020162
39.0	10.038377
40.0	10.054759
41.0	10.069491
42.0	10.082741
43.0	10.094656
44.0	10.105372
45.0	10.115009
46.0	10.123676
47.0	10.13147
48.0	10.13848
49.0	10.144784
50.0	10.150453
51.0	10.155552
52.0	10.160137
53.0	10.164261
54.0	10.167969
55.0	10.171305
56.0	10.174304
57.0	10.177002
58.0	10.179428
59.0	10.181609
60.0	10.183571
61.0	10.185336
62.0	10.186923
63.0	10.18835
64.0	10.189633
65.0	10.190788
66.0	10.191826
67.0	10.192759
68.0	10.193599
69.0	10.194354
70.0	10.195033
71.0	10.195644
72.0	10.196193
73.0	10.196687
74.0	10.197131
75.0	10.19753
76.0	10.19789
77.0	10.198213
78.0	10.198503
79.0	10.198765
80.0	10.199
81.0	10.199211
82.0	10.199401
83.0	10.199572
84.0	10.199726
85.0	10.199864
86.0	10.199988
87.0	10.2001
88.0	10.200201
89.0	10.200291
90.0	10.200372
91.0	10.200446
92.0	10.200511
93.0	10.20057
94.0	10.200624
95.0	10.200671
96.0	10.200715
97.0	10.200753
98.0	10.200788
99.0	10.200819
100.0	10.200847

