## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=199950 TAGGING_POLICY=All INPUT=[Arenosa4merged.bam] OUTPUT=Arenosa4dedup.bam METRICS_FILE=logstat/Dup_metricsArenosa4.log ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 10 17:56:56 CET 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
@ST-E00216:169:HFJG2ALXX:7one	8926	1329	1128	8926	2453	69	9	0.223671	14076

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.006499
2.0	1.922318
3.0	2.755624
4.0	3.513853
5.0	4.203769
6.0	4.831526
7.0	5.402725
8.0	5.922462
9.0	6.395372
10.0	6.825675
11.0	7.217209
12.0	7.573468
13.0	7.897629
14.0	8.192585
15.0	8.460967
16.0	8.705168
17.0	8.927368
18.0	9.129548
19.0	9.313513
20.0	9.480904
21.0	9.633213
22.0	9.7718
23.0	9.897901
24.0	10.01264
25.0	10.117042
26.0	10.212038
27.0	10.298475
28.0	10.377125
29.0	10.448688
30.0	10.513804
31.0	10.573053
32.0	10.626965
33.0	10.676018
34.0	10.720653
35.0	10.761266
36.0	10.79822
37.0	10.831844
38.0	10.86244
39.0	10.890278
40.0	10.915609
41.0	10.938657
42.0	10.959629
43.0	10.978711
44.0	10.996074
45.0	11.011873
46.0	11.026248
47.0	11.039328
48.0	11.05123
49.0	11.062059
50.0	11.071913
51.0	11.080879
52.0	11.089037
53.0	11.09646
54.0	11.103215
55.0	11.10936
56.0	11.114952
57.0	11.120041
58.0	11.124671
59.0	11.128883
60.0	11.132716
61.0	11.136204
62.0	11.139378
63.0	11.142265
64.0	11.144893
65.0	11.147284
66.0	11.149459
67.0	11.151438
68.0	11.153239
69.0	11.154878
70.0	11.156369
71.0	11.157726
72.0	11.158961
73.0	11.160084
74.0	11.161106
75.0	11.162036
76.0	11.162882
77.0	11.163652
78.0	11.164353
79.0	11.16499
80.0	11.16557
81.0	11.166098
82.0	11.166578
83.0	11.167015
84.0	11.167413
85.0	11.167775
86.0	11.168104
87.0	11.168404
88.0	11.168676
89.0	11.168924
90.0	11.16915
91.0	11.169355
92.0	11.169542
93.0	11.169712
94.0	11.169867
95.0	11.170007
96.0	11.170135
97.0	11.170252
98.0	11.170358
99.0	11.170454
100.0	11.170542

