## htsjdk.samtools.metrics.StringHeader
# picard.sam.markduplicates.MarkDuplicates MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=199950 TAGGING_POLICY=All INPUT=[Arenosa5merged.bam] OUTPUT=Arenosa5dedup.bam METRICS_FILE=logstat/Dup_metricsArenosa5.log ASSUME_SORTED=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 SORTING_COLLECTION_SIZE_RATIO=0.25 REMOVE_SEQUENCING_DUPLICATES=false REMOVE_DUPLICATES=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Dec 10 17:56:50 CET 2020

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
@E00401:39:HH73CCCXY:6one	6207	810	634	6207	626	38	12	0.08969	11978

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.014533
2.0	1.962727
3.0	2.848921
4.0	3.677168
5.0	4.451258
6.0	5.174731
7.0	5.850898
8.0	6.482851
9.0	7.073482
10.0	7.625493
11.0	8.141409
12.0	8.62359
13.0	9.074242
14.0	9.495427
15.0	9.889071
16.0	10.256976
17.0	10.600824
18.0	10.922189
19.0	11.22254
20.0	11.503251
21.0	11.765608
22.0	12.010809
23.0	12.239977
24.0	12.454161
25.0	12.654339
26.0	12.841428
27.0	13.016283
28.0	13.179705
29.0	13.332442
30.0	13.475191
31.0	13.608606
32.0	13.733297
33.0	13.849835
34.0	13.958752
35.0	14.060548
36.0	14.155688
37.0	14.244606
38.0	14.32771
39.0	14.405381
40.0	14.477972
41.0	14.545817
42.0	14.609226
43.0	14.668488
44.0	14.723876
45.0	14.775641
46.0	14.824022
47.0	14.86924
48.0	14.9115
49.0	14.950998
50.0	14.987912
51.0	15.022413
52.0	15.054658
53.0	15.084794
54.0	15.11296
55.0	15.139285
56.0	15.163888
57.0	15.186882
58.0	15.208372
59.0	15.228458
60.0	15.24723
61.0	15.264774
62.0	15.281172
63.0	15.296497
64.0	15.31082
65.0	15.324206
66.0	15.336718
67.0	15.348411
68.0	15.359339
69.0	15.369553
70.0	15.379099
71.0	15.388021
72.0	15.39636
73.0	15.404153
74.0	15.411437
75.0	15.418244
76.0	15.424606
77.0	15.430553
78.0	15.43611
79.0	15.441304
80.0	15.446158
81.0	15.450695
82.0	15.454936
83.0	15.458899
84.0	15.462603
85.0	15.466064
86.0	15.4693
87.0	15.472324
88.0	15.47515
89.0	15.477791
90.0	15.48026
91.0	15.482567
92.0	15.484723
93.0	15.486739
94.0	15.488622
95.0	15.490382
96.0	15.492028
97.0	15.493565
98.0	15.495003
99.0	15.496346
100.0	15.497601

