Sample	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION
Arenosa1	9507	8794	0.04557581	200.0	8594.0	92.33909960244976	77.51155044590094	23.02567959600301	9307.0						
Arenosa1_1000L_R1										5.259999999999991	37.0	151.0	0.0	5000.0	
Arenosa1_1000L_R2										6.3799999999999955	37.0	151.0	0.0	5000.0	
Arenosa1merged															0.076216
Arenosa2	9595	8441	0.05017279	203.0	8238.0	87.71294718909711	73.33901192504258	19.165247018739354	9392.0						
Arenosa2_1000L_R1										4.859999999999999	38.0	151.0	0.0	5000.0	
Arenosa2_1000L_R2										6.52000000000001	38.0	151.0	0.0	5000.0	
Arenosa2merged															0.075504
Arenosa3	9578	8361	0.04749126	205.0	8156.0	87.01589672463459	73.29563640243252	18.852021764643123	9373.0						
Arenosa3_1000L_R1										4.659999999999997	38.0	151.0	0.0	5000.0	
Arenosa3_1000L_R2										6.47999999999999	38.0	151.0	0.0	5000.0	
Arenosa3merged															0.077121
Arenosa4	21638	12712	0.06265026	1128.0	11584.0	56.47976596782057	10.180399804973185	10.84349098000975	20510.0						
Arenosa4_R1										21.335933690882484	34.0	147.69965870307166	0.0	10255.0	
Arenosa4_R2										19.834227206240868	34.0	142.56704046806436	0.0	10255.0	
Arenosa4merged															0.223671
Arenosa5	14668	8461	0.06520747	634.0	7827.0	55.771697306541256	9.63374661536269	7.488955394043038	14034.0						
Arenosa5_R1										6.327490380504486	34.0	146.78851360980477	8.333333333333332	7017.0	
Arenosa5_R2										5.486675217329335	33.0	131.73977483254953	8.333333333333332	7017.0	
Arenosa5merged															0.08969
trim_Arenosa1_1000L_R1_1P										5.323542909591566	36.0	141.60647085819184	0.0	4358.0	
trim_Arenosa1_1000L_R1_1U										1.8518518518518476	38.0	114.67962962962963	8.333333333333332	540.0	
trim_Arenosa1_1000L_R1_2P										5.920146856356126	36.0	127.88274437815512	0.0	4358.0	
trim_Arenosa1_1000L_R1_2U										0.0	38.0	95.84313725490196	33.33333333333333	51.0	
trim_Arenosa2_1000L_R1_1P										4.886286872326053	37.0	141.4181490655258	8.333333333333332	4441.0	
trim_Arenosa2_1000L_R1_1U										1.324503311258269	38.0	115.10816777041943	16.666666666666664	453.0	
trim_Arenosa2_1000L_R1_2P										6.282368835847791	37.0	128.30466111236208	0.0	4441.0	
trim_Arenosa2_1000L_R1_2U										1.754385964912288	40.0	96.71929824561404	33.33333333333333	57.0	
trim_Arenosa3_1000L_R1_1P										4.778079710144922	38.0	141.9608242753623	0.0	4416.0	
trim_Arenosa3_1000L_R1_1U										1.6528925619834638	38.0	114.77479338842976	8.333333333333332	484.0	
trim_Arenosa3_1000L_R1_2P										6.295289855072468	38.0	128.50996376811594	0.0	4416.0	
trim_Arenosa3_1000L_R1_2U										0.0	41.0	93.50877192982456	33.33333333333333	57.0	
trim_Arenosa4_R1_1P										21.335933690882484	34.0	147.69965870307166	0.0	10255.0	
trim_Arenosa4_R1_2P										19.834227206240868	34.0	142.56704046806436	0.0	10255.0	
trim_Arenosa5_R1_1P										6.327490380504486	34.0	146.78851360980477	8.333333333333332	7017.0	
trim_Arenosa5_R1_2P										5.486675217329335	33.0	131.73977483254953	8.333333333333332	7017.0	
